Date,Content
2021-04-08 3:53,"Miner payment: 0.0614 ETH (293 GWEI @ 209,244 gas [2])
0xa57B..d6CF
https://etherscan.io/tx/0x499294b869465dbcd1939b60d32ef869ec25693994a6e9ed2e3e18a801be563a
Miner: Sparkpool"
2021-04-08 3:53,"Miner payment: 0.788 ETH (2,861 GWEI @ 275,399 gas [3])
0x0000..9241
https://etherscan.io/tx/0x060b7c48a4ed07dc91c9d09bed75461b0e170be8017cc0c2d1417966bc099cf9
Miner: f2pool"
2021-04-08 3:55,"Miner payment: 0.0312 ETH (149 GWEI @ 209,220 gas [2])
0xa57B..d6CF
https://etherscan.io/tx/0x449b0ce5ed2c1f243c329be16144794aeef170a84d65092d668e1c34dead4b9f
Miner: Sparkpool"
2021-04-08 3:56,"Miner payment: 0.1208 ETH (390 GWEI @ 309,483 gas [2])
0xcd3c..Bd70
https://etherscan.io/tx/0xc1da4505e3e3e661882ec6c41eb7c1af2683d36f78a1fa101cb25107cb534838
Miner: f2pool"
2021-04-08 3:57,"Miner payment: 0.0471 ETH (202 GWEI @ 232,772 gas [3])
0x57D7..7e91
https://etherscan.io/tx/0xec757c68e30a32fe3728c6e895a400ba0c56edde01db45d01c3c2d714fc72501
Miner: Sparkpool"
2021-04-08 3:58,"Miner payment: 0.4263 ETH (1,395 GWEI @ 305,575 gas [3])
0x7788..B5B1
https://etherscan.io/tx/0x93d00e1c320951f9661955e7167ea14c3d30ef02db64678a316fd756df3520ec
Miner: SpiderPool"
2021-04-08 3:58,"Miner payment: 0.0454 ETH (201 GWEI @ 225,678 gas [3])
0x2222..2222
https://etherscan.io/tx/0x4d0d268a458367d0aa480db9531fb0514b019a9585c8d0a9f35ab69d8b576cea
Miner: Sparkpool"
2021-04-08 3:58,"Miner payment: 0.0565 ETH (186 GWEI @ 303,448 gas [3])
0x2222..2222
https://etherscan.io/tx/0xad81895397588803329e17fdb20734d93f1d071fded382e8ea8ea5a3611dbaf7
Miner: Sparkpool"
2021-04-08 3:59,"Miner payment: 0.0428 ETH (113 GWEI @ 378,671 gas [3])
0xFA2e..0459
https://etherscan.io/tx/0xd4d517b4c1ca844a56b556e3dd7cc454038e2a30ef4181829f8ddc6ffc0dcf05
Miner: Sparkpool"
2021-04-08 3:59,"Miner payment: 0.0506 ETH (208 GWEI @ 242,720 gas [3])
0x2222..2222
https://etherscan.io/tx/0x2f93078bfd6286b753a1be05f90b6edbd197ffd7b0fd7086930edc9ff0ac4882
Miner: SpiderPool"
2021-04-08 4:00,"Miner payment: 0.1296 ETH (501 GWEI @ 258,656 gas [3])
0x1d6E..932d
https://etherscan.io/tx/0xde5094e5601fddbf40eaa9284cc12aa08bd5fa4b10c357a5ce9feb31aef2eaf1
Miner: Sparkpool"
