timestamp,ETH / USD Denominated Closing Price,ETH / Free Float MVRV (Free Float Market Cap / Realized Market Cap),ETH / Daily Inflation Rate,ETH / Coinbase Issuance (USD),ETH / Total Issuance (USD),ETH / 1 Day Active Supply,ETH / Active Supply (transacted at least once),ETH / Free Float Supply (native units),ETH / SER (Supply Equality Ratio),ETH / NDF (Network Distribution Factor),ETH / Tx Cnt,ETH / Tx per Second Cnt,ETH / Xfer Cnt,"ETH / Xfer'd Val, Adj (USD)",ETH / Mean Tx Size (USD),ETH / Median Tx Fee (USD),ETH / Mean Tx Fee (USD),ETH / Median Tx Size (USD),ETH / Total Fees (USD),ETH / Block Gas Limit,ETH / Mean Block Gas Limit,ETH / Tx Gas Limit,ETH / Tx Gas Used,ETH / Mean Gas Limit per Tx,ETH / All Time Miner Revenue (USD),ETH / Mean Gas Used per Tx,ETH / Miner Revenue (native units),ETH / Miner Revenue (USD),ETH / Miner Revenue per Hash (native units),ETH / Miner Revenue per Hash per Sec (native units),ETH / Miner Revenue per Hash per Sec (USD),ETH / Miner Revenue per Hash (USD),ETH / Free Float NVT,ETH / BTC Denominated Price,ETH / Free Float Market Cap (USD),ETH / Realized Market Cap (USD),ETH / MVRV (Market Cap / Realized Market Cap),ETH / Active Market Cap (1yr) (USD),ETH / Market Cap (USD),ETH / 30 Day Volatility,ETH / 180 Day Volatility,"ETH / ROI, 1 Year","ETH / ROI, 30 Days",ETH / Annual Inflation Rate,ETH / Coinbase Issuance (native units),ETH / Total Issuance (native units),ETH / 10 Year Active Supply,ETH / 5 Year Active Supply,ETH / 4 Year Active Supply,ETH / 3 Year Active Supply,ETH / 2 Year Active Supply,ETH / 1 Year Active Supply,ETH / 180 Day Active Supply,ETH / 90 Day Active Supply,ETH / 30 Day Active Supply,ETH / 7 Day Active Supply,ETH / 1 Year Active Supply %,ETH / Current Supply (native units),ETH / 10 Year Expected Supply (native units),ETH / Value in Top 100 Addrs (native units),ETH / Value in Top 10% of Addrs (native units),ETH / Value in Top 1% of Addrs (native units),ETH / Val in Addrs w/ Bal ≥ .1% of Current Supply,ETH / Val in Addrs w/ Bal ≥ .01% of Current Supply,ETH / Val in Addrs w/ Bal ≥ .001% of Current Supply,ETH / Val in Addrs w/ Bal ≥ .0001% of Current Supply,ETH / Val in Addrs w/ Bal ≥ .00001% of Current Supply,ETH / Val in Addrs w/ Bal ≥ .000001% of Current Supply,ETH / Val in Addrs w/ Bal ≥ .0000001% of Current Supply,ETH / Val in Addrs w/ Bal ≥ .00000001% of Current Supply,ETH / Val in Addrs w/ Bal ≥ 1M (native units),ETH / Val in Addrs w/ Bal ≥ 100K (native units),ETH / Val in Addrs w/ Bal ≥ 10K (native units),ETH / Val in Addrs w/ Bal ≥ 1K (native units),ETH / Val in Addrs w/ Bal ≥ 100 (native units),ETH / Val in Addrs w/ Bal ≥10 (native units),ETH / Val in Addrs w/ Bal ≥ 1 (native unit),ETH / Val in Addrs w/ Bal ≥.1 (native units),ETH / Val in Addrs w/ Bal ≥ .01 (native units),ETH / Val in Addrs w/ Bal ≥ .001 (native units),ETH / Val in Addrs w/ Bal ≥ $10M USD,ETH / Val in Addrs w/ Bal ≥ $1M USD,ETH / Val in Addrs w/ Bal ≥ $100K USD,ETH / Val in Addrs w/ Bal ≥ $10K USD,ETH / Val in Addrs w/ Bal ≥ $1K USD,ETH / Val in Addrs w/ Bal ≥ $100 USD,ETH / Val in Addrs w/ Bal ≥ $10 USD,ETH / Val in Addrs w/ Bal ≥ $1 USD,ETH / Active Addr Cnt,ETH / Addr Cnt with ≥ .1% Supply,ETH / Addr Cnt with ≥ .01% Supply,ETH / Addr Cnt with ≥ .001% Supply,ETH / Addr Cnt with ≥ .0001% Supply,ETH / Addr Cnt with ≥ .00001% Supply,ETH / Addr Cnt with ≥ .000001% Supply,ETH / Addr Cnt with ≥ .0000001% Supply,ETH / Addr Cnt with ≥ .00000001% Supply,ETH / Addr Cnt of Bal ≥ 1M (native units),ETH / Addr Cnt of Bal ≥ 100K (native units),ETH / Addr Cnt of Bal ≥ 10K (native units),ETH / Addr Cnt of Bal ≥ 1K (native units),ETH / Addr Cnt of Bal ≥ 100 (native units),ETH / Addr Cnt of Bal ≥ 10 (native units),ETH / Addr Cnt of Bal ≥ 1 (native unit),ETH / Addr Cnt of Bal ≥ 0.1 (native units),ETH / Addr Cnt of Bal ≥ 0.01 (native units),ETH / Addr Cnt of Bal ≥ 0.001 (native units),ETH / Addr Cnt of Bal > 0 (native units),ETH / Addr Cnt of Bal ≥ $10M,ETH / Addr Cnt of Bal ≥ $1M,ETH / Addr Cnt of Bal ≥ $100K,ETH / Addr Cnt of Bal ≥ $10K,ETH / Addr Cnt of Bal ≥ $1K,ETH / Addr Cnt of Bal ≥ $100,ETH / Addr Cnt of Bal ≥ $10,ETH / Addr Cnt of Bal ≥ $1,"ETH / Xfer'd Val, Adj (native units)",ETH / Mean Tx Size (native units),ETH / Median Tx Size (native units),ETH / 1 Year Current Supply Velocity,ETH / Mean Tx Fee (native units),ETH / Median Tx Fee (native units),ETH / Mean Tx Fee per Byte (native units),ETH / Total Fees (native units),ETH / NVT,ETH / Free Float NVT 90-Day Moving Avg,ETH / NVT 90-day Moving Avg,ETH / Mean Hash Rate,ETH / Difficulty,ETH / Mean Difficulty,ETH / Mean Block Size (in bytes),ETH / Block Cnt,ETH / Exchange Deposits (native units),ETH / Exchange Deposits (USD),ETH / Exchange Withdrawals (native units),ETH / Exchange Withdrawals (USD),ETH / Exchange Withdrawal Cnt,ETH / USD 10:30am London Price / Index Value,ETH / USD 11:00am London Price / Index Value,ETH / USD 12:00pm New York Price / Index Value,ETH / USD 4:00pm New York Price / Index Value,ETH / USD 3:15pm Chicago Price / Index Value
2020-12-29,731.9362957,1.6484364,0.011661357,9733563.337,9733563.337,24284891.69,110606791.1,109906477.6,0.036995668,0.642582443,1206703,13.96646991,660869,4065933895,8169.500656,2.390267526,4.501397226,117.8850958,5431849.537,80008467780,12481820.25,1.90716E+11,78501673212,158046.9793,8703447495,65054.67643,20719.58033,15165412.87,0.000854163,73.7996934,54016.67421,0.625192989,19.78500934,0.026878588,80444540102,48800511834,1.71040271,52842924407,83468527573,0.042045757,0.041321733,457.5066028,27.32126727,4.256395451,13298.375,13298.375,110606791.1,110354868.2,107960695.2,99994090.81,82552900.69,72196070.5,62556252.25,53567148.21,41029995.7,31985989.25,63.308801,114037967.6,163641604.6,40394480.29,113822733.9,111698727.1,45462602.24,73278795.77,90369222.37,102563808.2,109905598.5,112753720.9,113671397.2,113943078.2,18328278,48941334.77,75543310.55,91772692.99,103437486,110277348.3,112897295.2,113708022.1,113952603,114031584.2,71906612.61,89379653.08,101822312.4,109560665.5,112664500,113637777.4,113933536.3,114029377.6,520345,139,961,6279,44889,258892,995796,3339400,10022201,7,173,1181,7634,53269,294364,1134172,3689857,10936520,30270733,51967572,851,5484,38947,231207,924148,3069487,9259206,28373448,5555037.943,11.16149138,0.161059229,13.59250031,0.006149985,0.003265677,2.58131E-05,7421.205327,20.52874683,39.08560961,40.55487519,280.7542873,3.58412E+15,3.78429E+15,44851.38175,6410,438191.7274,320728429.8,487491.25,356812539.7,35618,,,,,
2020-12-30,751.2080637,1.67545884,0.011891719,10188400.22,10188400.22,23332482.59,110620598.8,109919935.2,0.037081473,0.643539063,1227653,14.20894676,657068,4047400717,8863.657641,2.992861003,5.499053588,112.6812096,6750929.634,81641932317,12475845.4,1.87081E+11,79688716123,152389.4671,8718612907,64911.43354,22549.45157,16939329.85,0.000938736,81.10680383,60928.08506,0.70518617,20.40142489,0.02604327,82572741707,49283658746,1.73843484,54284134865,85676429225,0.040809778,0.041334452,484.547313,22.45239136,4.340477435,13562.6875,13562.6875,110620598.8,110368570.8,107973371.3,99986470.4,82594249.52,72262449.63,62629774.31,53621047.24,40985940.69,31994676.05,63.359474,114051530.3,163398400.2,40428165.27,113835575,111704667.6,45469325.82,73396614.94,90387674.51,102564475.7,109909356.6,112763613.2,113684658.5,113956583.7,18186556.49,48970797.69,75620900.36,91793458.19,103441463.3,110281552.3,112907546.4,113721327.3,113966137.1,114045145.5,72137019.4,89532908.36,101918610.3,109607818.1,112686346.2,113655787,113948408.9,114043157,522935,139,969,6264,44840,259093,997938,3350085,10048915,7,173,1185,7621,53251,294604,1136652,3700948,10965872,30307524,52012629,867,5569,39605,234622,935148,3115397,9387276,28572013,5387855.792,11.7992046,0.15,13.63500545,0.00732028,0.003984064,3.19163E-05,8986.764068,21.16825964,39.61502581,41.1040482,278.021701,3.67601E+15,3.67012E+15,43027.57732,6544,501083.2322,376417764.6,550798.1968,413764046.9,36182,,,,,
2020-12-31,739.0258499,1.6480502,0.011829053,9971537.225,9971537.225,18060260.86,110637820.1,109933926.4,0.037092295,0.644009036,1163876,13.47078704,634932,3662959092,8346.414145,2.611939061,4.931014066,115.9062855,5739088.927,81116470988,12475618.42,1.84046E+11,79189267407,158131.713,8735552237,68039.26484,21258.56106,15710626.15,0.000874473,75.55443395,55836.67976,0.646257868,22.17988555,0.025463743,81244013422,49297050245,1.70998062,53462845121,84297000630,0.040015131,0.041363295,468.6394376,25.63092155,4.317604491,13492.8125,13492.8125,110637820.1,110385772,107989838.8,100011448.3,82622284.9,72342320.81,62743242.19,53740200.85,40981974.52,29504644.97,63.422002,114065023.1,163528290.9,40449323.75,113848591.7,111719249.1,45392613.49,73458905.61,90404166.91,102585153,109921099.7,112774525.9,113697871.8,113969991.5,18261052.68,48666115.34,75621106.71,91826174.54,103462756.7,110293788.8,112918714.4,113734527.8,113979566.7,114058636.8,72106032.88,89465719.06,101876528.6,109591994.6,112689326,113665937.4,113960874.2,114056492.6,489924,138,970,6255,44823,258902,997701,3356767,10071207,7,170,1180,7628,53240,294458,1136659,3707481,10990185,30342169,52064940,861,5498,39122,232384,929001,3099262,9339336,28490518,4956469.51,11.29380541,0.156836578,13.69391613,0.006672316,0.0035343,2.89482E-05,7765.748557,23.0133612,38.55054389,39.99919607,281.367485,3.68858E+15,3.7385E+15,41258.58182,6502,360852.0792,266679014.5,473580.8613,349988498.5,31983,,,,,
2021-01-01,730.9143206,1.62810587,0.011863919,9892331.462,9892331.462,18436549.52,110651357.1,109947580.1,0.037032027,0.643971462,1136712,13.15638889,641002,2611094510,5685.743661,1.665638983,3.336355785,105.2421603,3792475.657,81689746408,12481244.68,1.80536E+11,80038891441,158823.1843,8751262863,70412.63877,18722.86085,13684807.12,0.000766836,66.254625,48426.45422,0.560491368,30.77723172,0.024877368,80362260785,49359358034,1.68927746,52909029656,83381651193,0.040106272,0.041374731,476.7452558,22.03741706,4.330330399,13534.1875,13534.1875,110651357.1,110399430.2,108003575.5,99996658.31,82640001.96,72387457.96,62791043.13,53866972.9,41096638.88,29590707.42,63.454044,114078557.3,163594748.8,40585246.69,113862563.4,111740721.9,45528640.94,73463335.34,90480621.54,102615373.5,109940571.9,112788642,113711312.5,113983424.2,18350011.02,48802142.78,75646268.53,91883786.37,103490476.4,110312324.6,112932770.2,113748053.5,113993026.6,114072167.3,72017159.08,89492604.07,101867174.5,109595019.5,112698257.8,113677276.8,113973748.6,114069948.5,511250,138,966,6278,44797,258427,995575,3349204,10065004,7,170,1178,7633,53190,293892,1134468,3700717,10986472,30347426,52092356,850,5485,38805,230716,923070,3076214,9291864,28440374,3572367.426,7.778946862,0.143987,13.74291573,0.004564633,0.002278843,1.93561E-05,5188.673351,31.93360136,37.81218252,39.23287104,282.5894924,3.73367E+15,3.73032E+15,40957.1259,6545,318228.1823,232597535.7,285867.1727,208944410.3,24759,,,,,
2021-01-02,775.2966224,1.69589727,0.011980439,10597335.71,10597335.71,17964150.58,110667087.3,109961201.8,0.037065113,0.64444651,1170839,13.55137731,621519,3795124932,9775.194562,2.648741988,5.305364063,147.1861795,6211727.154,82369200769,12478291.28,1.88889E+11,80948469861,161327.6508,8764947671,69137.14854,21680.81528,16809062.86,0.000852846,73.68592135,57128.44594,0.661208865,22.46370011,0.024210859,85252548356,50269877628,1.75960877,56197694199,88455317489,0.041013483,0.04138379,479.4410894,25.54307534,4.372860381,13668.75,13668.75,110667087.3,110415113.4,108019154.9,99993953.49,82691803.54,72485410.84,62901154.6,54009005.75,40865984.1,30217626.28,63.532296,114092226,163488181.1,40627280.09,113875465.3,111752712.3,45570674.34,73526336.83,90469930.21,102623094.1,109950099.1,112797807.5,113724466.7,113996916.8,18333726.39,49048145.41,75689325.55,91901225.83,103497382.8,110321441.3,112942562.3,113761304.3,114006555.8,114085833.4,72592646.61,89783012.6,102123554.3,109719199.4,112736820.3,113701576.9,113990604.7,114084089.9,516268,138,966,6248,44779,258440,995890,3360201,10091446,7,172,1176,7629,53165,293867,1135375,3712621,11016310,30404493,52160801,889,5682,40663,239383,945544,3171171,9571894,28855246,4895061.867,12.60832858,0.18984499,13.76425005,0.006843012,0.003416424,2.96979E-05,8012.065285,23.30761677,39.51937098,41.00403536,294.2328044,4.00349E+15,3.85106E+15,40870.41418,6601,406586.3453,315225020.3,423960.2222,328694928.3,33225,,,,,
2021-01-03,990.365325,1.97325505,0.01181295,13349381.81,13349381.81,23699455.31,110685343.5,110001601.6,0.037068007,0.645720537,1234419,14.28725694,721138,7655516143,14050.65997,4.843067676,10.43870498,198.073065,12885735.76,80752215280,12469458.81,1.99764E+11,78955134702,161827.9762,8781756733,63961.37349,26490.34341,26235117.56,0.001056177,91.25369921,90374.49947,1.046001151,14.23049339,0.029760509,1.08942E+11,55209169294,2.04687619,72011404654,1.13006E+11,0.057111305,0.045018095,638.8010033,73.08717754,4.311726787,13479.25,13479.25,110685343.5,110433310.1,108037268.3,100045957.9,82835744.01,72711960.77,63172502.89,54671149.87,41723353.45,31315614.82,63.723335,114105705.3,163603906.9,40522907.1,113888094.8,111770268.1,45741403.44,73680397.24,90544818.07,102655094.9,109962604.2,112805322.1,113737346.7,114010270.9,18088539.68,49024600.78,75825654.74,91959981.65,103532312.1,110333869.4,112951314.3,113774250.7,114019923.4,114099310,74704904.26,91279079.88,103216282.1,110222706.4,112890826.5,113761113.1,114016008,114099092.3,584367,140,966,6212,44573,257541,994091,3371282,10126587,7,172,1174,7578,52987,292959,1134778,3724360,11052725,30460627,52232583,1062,6898,49833,281866,1074372,3593100,10661396,30243193,7729992.105,14.18735048,0.2,13.81905068,0.010540257,0.004890183,4.65115E-05,13011.09341,14.76142585,48.90158274,50.72607588,290.293365,3.93157E+15,3.87231E+15,43196.30729,6476,1045461.764,1035389079,901294.9051,892611221.6,46948,,,,,
2021-01-04,1030.318449,1.9389428,0.011826231,13905177.79,13905177.79,26854895.79,110704227.2,110016017.1,0.037073057,0.647426784,1275169,14.75890046,746378,9683524280,16196.84828,8.661264218,16.2580393,207.7267902,20731747.72,81346027034,12482127.82,2.14144E+11,79464427883,167933.714,8807991851,62316.78145,33617.68931,34636925.51,0.001335455,115.3833075,118881.5504,1.37594387,11.70560726,0.032397764,1.13352E+11,58460482799,2.01125808,75328383561,1.17579E+11,0.057118624,0.045043473,663.299623,73.18730312,4.316574206,13496,13496,110704227.2,110452181.2,108054724.2,100064909.5,83046467.21,73111748.75,63631010.08,55306179.75,42798633.22,32764185.15,64.066124,114119201.3,163508554,40419590.95,113900233.6,111790936.5,45942897.12,73883827.5,90679571.24,102723299.8,109974769.5,112812272,113749517.8,114023593.9,16818846.33,49222663.19,76112002.3,92064393.33,103595227.9,110344863.9,112959034,113786478.7,114033298.3,114112803.5,76468475.23,92419604.15,103766150.9,110435672.7,113023731.7,113803454,114035931.2,114112994.6,624273,142,971,6163,44349,255740,991662,3382183,10175245,6,174,1187,7500,52712,291051,1133102,3735783,11106275,30534275,52315329,1223,7858,54436,300212,1198374,3907920,11373696,30728667,9398574.092,15.72023514,0.201614162,13.89582478,0.015779626,0.008406395,7.13388E-05,20121.68931,12.14218244,48.82631997,50.64735828,291.3566099,3.93335E+15,3.86159E+15,43280.37302,6517,1388548.049,1430646672,1249906.052,1287801265,56733,,,,,
2021-01-05,1101.559814,1.99584067,0.011916546,14981970.79,14981970.79,26895879.26,110725165.4,110027857.7,0.037085067,0.648560245,1258441,14.56528935,720056,6656455591,12107.81787,4.953406047,9.592524672,211.4091829,12071626.34,81595251457,12491618.41,2.06767E+11,79844614999,164304.3272,8842628776,63447.24544,24559.35374,27053597.14,0.000972973,84.06485226,92602.46303,1.071787767,18.2082288,0.032386269,1.21202E+11,60727425879,2.07030195,80716314218,1.25724E+11,0.057785213,0.045202942,665.0314677,82.90837854,4.349539181,13600.6875,13600.6875,110725165.4,110468758.7,108074808.1,100068151.5,83140165.28,73274563.2,63808840.51,55504877.38,43061140.14,32766798.48,64.201143,114132802,163646016.7,40441892.27,113913350.8,111806776.3,46211624.37,74021998.06,90735967.73,102745557.9,109986440.1,112822405.1,113762718.5,114036972.3,16770161.29,49478225.8,76273337.71,92113418.78,103616651.8,110356786.5,112969233.3,113799758.5,114046705.8,114126400.8,77031675.63,92754908.05,103998937.1,110551720.3,113074280.1,113836272.6,114055064.6,114127051.1,592340,144,974,6139,44240,255252,990934,3389255,10198592,6,176,1192,7469,52595,290586,1132410,3743564,11132301,30589461,52387987,1271,8132,56571,310845,1240571,4122644,12007846,31273994,6042754.561,10.99152104,0.191918024,13.97863793,0.008708129,0.00449672,3.8464E-05,10958.66624,18.88754554,50.95125435,52.85215532,292.1477059,4.02624E+15,3.8648E+15,43617.11604,6532,772586.3764,851050105.2,813785.4038,896433298.1,43254,,,,,
2021-01-06,1199.3524,2.05889929,0.011841052,16210596.95,16210596.95,25983139.01,110743955.7,110041891,0.037157189,0.648778498,1280434,14.81983796,729755,8285545387,14476.44808,4.810602475,9.144722533,197.8054493,11709213.65,81021667423,12493703.53,2.04121E+11,79409862801,159415.3601,8869682374,62017.92736,23279.07178,27919810.61,0.000917174,79.24380002,95041.24172,1.100014372,15.92882543,0.032730489,1.31979E+11,64101729856,2.1356937,88179079319,1.36902E+11,0.058512268,0.045554317,737.2503617,102.6548962,4.321984017,13516.125,13516.125,110743955.7,110487517.2,108093638.7,100092041.9,83323066.52,73522243.62,64066100.74,55994613.38,43542910.05,32716734.15,64.410526,114146318.1,163682360.5,40359195.67,113926121.5,111816705.2,46119616.37,74055676.76,90747665.65,102752576.9,109991523.6,112832925.9,113775857.3,114050326.3,16603743.09,49496812.74,76233158.08,92144199.26,103626312.7,110362440.9,112979708.7,113812991.7,114060090.4,114139913.1,77783100.74,93320720.39,104273792,110698708.5,113130865.6,113865271.2,114073429.9,114141188.4,616836,144,982,6135,44191,255106,991992,3401049,10230056,6,177,1193,7484,52571,290499,1133405,3756214,11166612,30647249,52463931,1362,8755,59588,326930,1294469,4316142,12612620,32049416,6908349.363,12.07022063,0.16492688,14.02960219,0.007624717,0.004011,3.41211E-05,9762.946782,16.52295101,53.74029862,55.7447456,293.7652129,4.00035E+15,3.91414E+15,44121.26569,6485,820372.8888,983916192.8,882122.4062,1057975625,44783,,,,,
2021-01-07,1220.214213,2.03083475,0.011698855,16296418.4,16296418.4,28066699.39,110760321.5,110058571.8,0.037206784,0.649375615,1298568,15.02972222,735965,8369560162,14387.64471,4.88146696,9.992339662,177.97347,12975732.53,80409781963,12493751.08,2.04207E+11,78649000525,157255.8009,8897602184,60565.94689,23989.35417,29272150.93,0.000944065,81.56721335,99529.47307,1.151961494,16.04565007,0.03111549,1.34295E+11,66127996670,2.10650954,89974330472,1.39299E+11,0.05607144,0.045542465,766.1835003,120.128701,4.270082185,13355.375,13355.375,110760321.5,110507208.5,108116350.8,100123283,83491071.72,73736504.21,64307367.15,56225624.79,44584225.44,33874835.36,64.590675,114159673.5,163705401.4,40334099.25,113938684.3,111827867.5,46064653.42,74132508.2,90830424.1,102773650.7,109998918.1,112841590.1,113788851.1,114063738.2,16503354.53,49340703.34,76310155.9,92218217.02,103639745.5,110370009.9,112989145.3,113826114.6,114073519.2,114153264.7,77940815.35,93431057.26,104340891.6,110731288.6,113149658.8,113880596.4,114087510.3,114154657.5,659444,144,992,6150,44096,254674,992367,3414198,10265905,6,176,1203,7491,52405,290084,1134538,3770555,11203980,30683500,52519274,1382,8810,60068,329544,1306891,4357687,12730010,32227597,6859090.864,11.79108106,0.145854284,14.08300942,0.008189004,0.0040005,3.67297E-05,10633.97917,16.64355754,53.05168199,55.02854157,294.1053542,3.78903E+15,3.94682E+15,44984.50606,6436,720489.367,879151366.2,807162.6188,984911299.9,48226,,,,,
